"cie_code","cie_name","cie_sex","cie_limi","cie_limf","cie_mortality"
"A000","COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE","A","0","0","1"
"A001","COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR","A","0","0","1"
"A009","COLERA NO ESPECIFICADO","A","0","0","1"
"A010","FIEBRE TIFOIDEA","A","0","0","1"
"A011","FIEBRE PARATIFOIDEA A","A","0","0","1"
"A012","FIEBRE PARATIFOIDEA B","A","0","0","1"
"A013","FIEBRE PARATIFOIDEA C","A","0","0","1"
"A014","FIEBRE PARATIFOIDEA, NO ESPECIFICADA","A","0","0","1"
"A020","ENTERITIS DEBIDA A SALMONELLA","A","0","0","1"
"A021","SEPTICEMIA DEBIDA A SALMONELLA","A","0","0","1"
"A022","INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA","A","0","0","1"
"A028","OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA","A","0","0","1"
"A029","INFECCI?N DEBIDA A SALMONELLA NO ESPECIFICADA","A","0","0","1"
"A030","SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE","A","0","0","1"
"A031","SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI","A","0","0","1"
"A032","SHIGELOSIS DEBIDA A SHIGELLA BOYDII","A","0","0","1"
"A033","SHIGELOSIS DEBIDA A SHIGELLA SONNEI","A","0","0","1"
"A038","OTRAS SHIGELOSIS","A","0","0","1"
"A039","SHIGELOSIS DE TIPO NO ESPECIFICADO","A","0","0","1"
"A040","INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA","A","0","0","1"
"A041","INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA","A","0","0","1"
"A042","INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA","A","0","0","1"
"A043","INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA","A","0","0","1"
"A044","OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI","A","0","0","1"
"A045","ENTERITIS DEBIDA A CAMPYLOBACTER","A","0","0","1"
"A046","ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA","A","0","0","1"
"A047","ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE","A","0","0","1"
"A048","OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS","A","0","0","1"
"A049","INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA","A","0","0","1"
"A050","INTOXICACION ALIMENTARIA ESTAFILOCOCICA","A","0","0","1"
"A051","BOTULISMO","A","0","0","1"
"A052","INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]","A","0","0","1"
"A053","INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS","A","0","0","1"
"A054","INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS","A","0","0","1"
"A058","OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS","A","0","0","1"
"A059","INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA","A","0","0","1"
"A060","DISENTERIA AMEBIANA AGUDA","A","0","0","1"
"A061","AMEBIASIS INTESTINAL CRONICA","A","0","0","1"
