"cups_code","cups_name","cups_description","cups_sex","cups_years_start","cups_years_end","cups_iss","cups_soat","cups_particular","cups_other","cups_file","cups_state","cups_ot_type"
"000003","DISPONIBILIDAD SERVICIO ESPECIALIZADO CIRUGIA VASCULAR CLINICA ZAYMA",,,,,"0","0","0","0","AP",,"0"
"00002","DISPONIBILIDAD POR SERVICIO DE CONSULTA Y CIRUGIA VASCULAR",,,,,"0","0","0","0","AP",,"0"
"000185","ATENCION MENSUAL AMBULATORIA INTEGRAL DE CONCENTRADOR DE OXIGENO",,,,,"400000","400000","400000","400000","OT",,"1"
"00020","ESCLEROTERAPIA ESPECIAL
(INCLUYE CONSULTA + 4 CESIONES DE ESCLEROTERAPIA)",,,,,"0","0","0","0","AC",,"0"
"000777","APOSITO ACUACEL 15 X 15",,,,,"37492","37492","37492","37492","OT",,"1"
"003329","LITTLE GOLD",,,,,"0","0","2400000","0","AP",,"0"
"100100","EXTRACCION DE CUERPO EXTRA?O INCRUSTADO EN CONJUNTIVA, POR INCISION SOD",,,,,"0","0","0","0",,,"0"
"10100","PUNCION CISTERNAL SOD",,,,,"0","0","0","0",,,"0"
"10101","PUNCION CISTERNAL, VIA LATERAL",,,,,"0","0","0","0",,,"0"
"10102","PUNCION CISTERNAL, VIA MEDIAL",,,,,"0","0","0","0",,,"0"
"10200","PUNCION [ASPIRACION DE LIQUIDO] VENTRICULAR SOD",,,,,"0","0","0","0",,,"0"
"10201","PUNCION [ASPIRACION DE LIQUIDO] VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO",,,,,"0","0","0","0",,,"0"
"10202","PUNCION [ASPIRACION DE LIQUIDO] VENTRICULAR POR TREPANACION (SIN CATETER)",,,,,"0","0","0","0",,,"0"
"10203","PUNCION [ASPIRACION DE LIQUIDO] VENTRICULAR A TRAVES DE UN RESERVORIO",,,,,"0","0","0","0",,,"0"
"10204","PUNCION [ASPIRACION DE LIQUIDO] VENTRICULAR, VIA TRANSFONTANELAR",,,,,"0","0","0","0",,,"0"
"102100","BIOPSIA DE CONJUNTIVA SOD",,,,,"0","0","0","0",,,"0"
"103101","RESECCION DE QUISTE O TUMOR BENIGNO DE CONJUNTIVA",,,,,"0","0","0","0",,,"0"
"103102","RESECCION DE QUISTE O TUMOR BENIGNO DE CONJUNTIVA CON INJERTO DE MUCOSA O MEMBRANA AMNIOTICA",,,,,"0","0","0","0",,,"0"
"103103","RESECCION DE PTERIGION SIMPLE (NASAL O TEMPORAL) CON SUTURA",,,,,"0","0","0","0",,,"0"
"103104","RESECCION DE PTERIGION SIMPLE (NASAL O TEMPORAL) CON INJERTO",,,,,"0","0","0","0",,,"0"
"103105","RESECCION DE PTERIGION REPRODUCIDO (NASAL O TEMPORAL), CON PLASTIA LIBRE O CITOSTATICOS",,,,,"0","0","0","0",,,"0"
"103106","RESECCION DE TUMOR MALIGNO DE CONJUNTIVA, CON PLASTIA",,,,,"0","0","0","0",,,"0"
"103107","RESECCION DE TUMOR MALIGNO DE CONJUNTIVA, SIN PLASTIA",,,,,"0","0","0","0",,,"0"
"103108","PERITOMIA TOTAL",,,,,"0","0","0","0",,,"0"
"103200","ABLACION DE LESION DE CONJUNTIVA SOD",,,,,"0","0","0","0",,,"0"
"103201","ABLACION DE LESION O TEJIDO DE CONJUNTIVA, POR DIATERMIA O CRIOCOAGULACION",,,,,"0","0","0","0",,,"0"
"103202","ABLACION DE LESION O TEJIDO DE CONJUNTIVA, POR FOTOCOA-GULACION (LASER)",,,,,"0","0","0","0",,,"0"
"104100","REPARACION DE SIMBLEFARON CON INJERTO LIBRE DE CONJUNTIVA SOD",,,,,"0","0","0","0",,,"0"
"104400","REPARACION DE SIMBLEFARON CON INJERTO DE MUCOSA EXTRA-OCULAR SOD",,,,,"0","0","0","0",,,"0"
"105100","DIVISION DE SIMBLEFARON SOD",,,,,"0","0","0","0",,,"0"
"106100","SUTURA DE LA CONJUNTIVA SOD",,,,,"0","0","0","0",,,"0"
"107100","INYECCION SUBCONJUNTIVAL SOD",,,,,"0","0","0","0",,,"0"
"10901","PUNCION SUBDURAL",,,,,"0","0","0","0",,,"0"
"110000","EXTRACCION DE CUERPO EXTRA?O INCRUSTADO EN CORNEA SOD",,,,,"0","0","0","0",,,"0"
"11100","BIOPSIA DE CRANEO SOD",,,,,"0","0","0","0",,,"0"
"11101","BIOPSIA OSEA EN CRANEO POR CRANEOTOMIA",,,,,"0","0","0","0",,,"0"
"11102","BIOPSIA OSEA EN CRANEO POR CRANIECTOMIA",,,,,"0","0","0","0",,,"0"
"111100","EXTRACCION DE CUERPO EXTRA?O PROFUNDO EN CORNEA, POR INCISION SOD",,,,,"0","0","0","0",,,"0"
"111200","DRENAJE DE COLECCION EN CORNEA SOD",,,,,"0","0","0","0",,,"0"
"11200","BIOPSIA DE MENINGE CEREBRAL SOD",,,,,"0","0","0","0",,,"0"
"11201","BIOPSIA DE MENINGE, POR CRANEOTOMIA",,,,,"0","0","0","0",,,"0"
"112100","FROTIS DE CORNEA SOD",,,,,"0","0","0","0",,,"0"
"112200","BIOPSIA DE CORNEA SOD",,,,,"0","0","0","0",,,"0"
"11300","BIOPSIA DE CEREBRO SOD",,,,,"0","0","0","0",,,"0"
"11301","BIOPSIA CERRADA [PERCUTANEA] [AGUJA] DE CEREBRO",,,,,"0","0","0","0",,,"0"
"11302","BIOPSIA ABIERTA (CRANEOTOMIA) DE CEREBRO",,,,,"0","0","0","0",,,"0"
"11303","BIOPSIA DE CEREBRO POR TREPANACION",,,,,"0","0","0","0",,,"0"
"11304","BIOPSIA ESTEREOTAXICA DE CEREBRO",,,,,"0","0","0","0",,,"0"
"114100","RESECCION SIMPLE DE TUMOR DE CORNEA SOD",,,,,"0","0","0","0",,,"0"
"114200","CAUTERIZACION DE CORNEA (TERMO, QUIMIO O CRIOAPLICACION) SOD",,,,,"0","0","0","0",,,"0"
"115100","SUTURA DE CORNEA SOD",,,,,"0","0","0","0",,,"0"
"115101","CORNOESCLERORRAFIA (REPARACION DE HERIDA CORNEOESCLERAL)",,,,,"0","0","0","0",,,"0"
"115200","REPARACION DE DESHISCENCIA DE HERIDA POS OPERATORIA CORNEAL SOD",,,,,"0","0","0","0",,,"0"
"115300","REPARACION DE LACERACION O HERIDA CORNEAL SOD",,,,,"0","0","0","0",,,"0"
"115301","REPARACION DE LACERACION O HERIDA CORNEAL CON INJERTO ESPESOR PARCIAL",,,,,"0","0","0","0",,,"0"
"115302","REPARACION DE LACERACION O HERIDA CORNEAL CON INJERTO ESPESOR TOTAL",,,,,"0","0","0","0",,,"0"
"115800","RETIRO DE SUTURA EN CORNEA SOD",,,,,"0","0","0","0",,,"0"
"116100","QUERATOPLASTIA LAMELAR O SUPERFICIAL SOD",,,,,"0","0","0","0",,,"0"
"116200","QUERATOPLASTIA PENETRANTE SOD",,,,,"0","0","0","0",,,"0"
"116300","QUERATOPLASTIA PENETRANTE, COMBINADA CON CIRUGIA DE CATARATA, ANTIGLAUCOMATOSA O LENTE INTRAOCULAR [CIRUGIA TRIPLE] SOD",,,,,"0","0","0","0",,,"0"
"116400","ESCLEROQUERATOPLASTIA SOD",,,,,"0","0","0","0",,,"0"
"117300","IMPLANTE DE PROTESIS CORNEANA (QUERATOPROTESIS) SOD",,,,,"0","0","0","0",,,"0"
"117600","QUERATECTOMIA SOD",,,,,"0","0","0","0",,,"0"
"117700","QUERATECTOMIA CON EXCIMER LASER (FOTORREFRACTIVA O FOTOTERAPEUTICA) PTK SOD",,,,,"0","0","0","0",,,"0"
"118100","QUERATOPIGMENTACION (TATUAJE DE LA CORNEA) SOD",,,,,"0","0","0","0",,,"0"
"120000","EXTRACCION DE CUERPO EXTRA?O INTRAOCULAR DEL SEGMENTO ANTERIOR DE OJO SOD",,,,,"0","0","0","0",,,"0"
"12100","INCISION Y DRENAJE DE SENO FRONTAL SOD",,,,,"0","0","0","0",,,"0"
"12101","CRANEALIZACION DE SENO FRONTAL",,,,,"0","0","0","0",,,"0"
"121100","IRIDOTOMIA CON TRANSFIXION SOD",,,,,"0","0","0","0",,,"0"
"121200","IRIDOTOMIA CON LASER SOD",,,,,"0","0","0","0",,,"0"
"121300","ESCISION DE IRIS PROLAPSADO [REDUCCION DE HERNIA DE IRIS] SOD",,,,,"0","0","0","0",,,"0"
"121301","REDUCCION DE HERNIA DE IRIS, POR SUTURA DE IRIS",,,,,"0","0","0","0",,,"0"
"121400","IRIDECTOMIA (BASAL, PERIFERICA Y TOTAL) SOD",,,,,"0","0","0","0",,,"0"
"12200","EXTRACCION DE NEUROESTIMULADOR INTRACRANEAL SOD",,,,,"0","0","0","0",,,"0"
"122100","PARACENTESIS DIAGNOSTICA DE CAMARA ANTERIOR DEL OJO SOD",,,,,"0","0","0","0",,,"0"
"122200","BIOPSIA DE IRIS SOD",,,,,"0","0","0","0",,,"0"
"122400","BIOPSIA DE CUERPO CILIAR SOD",,,,,"0","0","0","0",,,"0"
"12300","REAPERTURA DE CRANEOTOMIA SOD",,,,,"0","0","0","0",,,"0"
"123000","IRIDOPLASTIA SOD",,,,,"0","0","0","0",,,"0"
"123001","IRIDOPLASTIA, CON SUTURA",,,,,"0","0","0","0",,,"0"
"123002","IRIDOPLASTIA, CON LASER",,,,,"0","0","0","0",,,"0"
